activity	size	net.sales	cost.of.goods.and.services	cost.of.labor	depreciation	financial.expenses	interest	EBIT	EBITDA	net.income	assets	equity	debt	cash	lt.assets	st.assets	total.oper.liabilities	st.oper.liabilities	lt.liabilities	st.liabilities	inventories	FFO	OCF	total.oper.liabilities/assets	current.ratio	lt.sales.growth	st.sales.growth	lt.ebit.margin.change	net.debt/EBITDA	equity.ratio	TIE	ROA	public	credit.score	id	activity.id	activity.ime	Arguments
A B C D E F G H I J K L M N Q R S	L M S	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	d	A E	string	string	string	string
																								meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	class	meta	meta	meta	meta
C	S	8027333	6836338	1149061	308167	90450	90450	99595	407762	14940	6674671	1206058	2959564	15966	3569787	3093095	2191234	2191234	2498141	2652657	613477	323107	318232	32.8	1.17	27.9	39.4	-6.2	7.22	0.18	1.1	1.6	FALSE	E	EUROBOX, proizvodnja in trgovina, d.o.o.	17.21	PROIZVODNJA VALOVITEGA PAPIRJA IN KARTONA TER PAPIRNE IN KARTONSKE EMBALAZE
G	S	3958025	3011069	676014	184162	788	30	62042	246204	59335	3102692	2548611	0	871805	856874	2239564	347705	347705	0	347705	0	238830	325898	11.2	6.44	-0.6	-6.9	3.4	-3.54	0.82	100	2	FALSE	A	DIVERSEY, druzba za proizvodnjo in prodajo d.o.o.	46.75	TRGOVINA NA DEBELO S KEMICNIMI IZDELKI
C	L	46478444	34692816	6397060	2487129	482437	364151	2344965	4832094	1629286	44967928	29281806	8027542	2873520	19723030	25055576	5571384	5571384	6333344	7265582	10333893	3851344	3315647	12.4	3.45	-2.9	-7.2	3.7	1.07	0.65	6.44	5.2	FALSE	A	FRUCTAL Zivilska industrija d.o.o.	10.32	PROIZVODNJA SADNIH IN ZELENJAVNIH SOKOV
Q	L	9441113	4023940	3815902	839998	6049	6049	768738	1608736	726984	8466300	6994826	258551	384500	7276799	1184834	1107263	1107263	43484	1322330	115168	1560006	1548607	13.1	0.9	8	6.7	-0.7	-0.08	0.83	100	9.2	FALSE	A	ZDRAVILISCE ROGASKA-ZDRAVSTVO d.o.o.	86.22	SPECIALISTICNA ZUNAJBOLNISNICNA ZDRAVSTVENA DEJAVNOST
C	M	13873965	10736950	2579018	901894	272295	272295	-818933	82961	-1017562	15106250	3164952	9328398	31624	11688951	3412304	2089741	2089741	7443673	3974466	1771789	-214237	-140892	13.8	0.86	-3.3	4.1	-1.2	30	0.21	0	-5.2	FALSE	E	LIP opazne plosce Bohinj, d.o.o.	16.21	PROIZVODNJA FURNIRJA IN PLOSC NA OSNOVI LESA
F	M	14472188	11158396	3073460	211667	96255	96255	127413	339080	64337	7592611	2407700	1518213	101932	3160524	4431956	3483868	3483868	932479	4069602	118305	271377	-24566	45.9	1.09	-1.7	1.4	-0.1	4.18	0.32	1.32	1.8	FALSE	E	REMONT obrtno gradbeno podjetje, d.d.	41.2	GRADNJA STANOVANJSKIH IN NESTANOVANJSKIH STAVB	
C	S	2757717	1965954	619045	47370	14335	14335	74830	122200	55894	2389715	1135178	275475	0	266591	1964097	970874	881381	89493	1156856	1665031	103264	-30966	40.6	1.7	-3.5	-8.2	6.3	2.25	0.48	5.22	3.2	FALSE	A	SILCOOP varilna tehnika d.o.o.	25.5	"KOVANJE, STISKANJE, VTISKOVANJE IN VALJANJE KOVIN; PRASNA METALURGIJA"	
F	M	21381638	12635230	6378038	1216291	441498	347857	1092224	2308515	237480	13228851	3445271	3735270	278207	5644973	7564920	4736986	4736986	2905803	5566453	955520	1273273	963750	35.8	1.36	-1.1	10.3	3.3	1.5	0.26	3.14	8.1	FALSE	A	VOC CELJE vzdrzevanje in obnova cest, d.d.	42.11	GRADNJA CEST	
G	M	15279979	14085602	879058	336661	29204	29204	-39793	296868	9305	7710082	2260265	1781067	763803	2369181	5340576	3277687	3277687	1751341	3307413	3451971	345966	861697	42.5	1.61	-3.8	6.6	-1	3.43	0.29	0	-0.6	FALSE	E	ASP storitveno in trgovsko podjetje d.o.o.	45.11	TRGOVINA Z AVTOMOBILI IN LAHKIMI MOTORNIMI VOZILI	
E	L	130601096	118547352	6630805	3390030	1184547	1180246	2039804	5429834	852626	80115552	36361096	28687540	127473	45017288	32506708	14986239	14986239	13068283	30605496	4528264	4199714	2697204	18.7	1.06	6	-12.9	-3.3	5.26	0.45	1.73	2.5	FALSE	E	DINOS, druzba za pripravo sekundarnih surovin, d.d.	38.32	PRIDOBIVANJE SEKUNDARNIH SUROVIN IZ OSTANKOV IN ODPADKOV	
F	S	2714998	1548065	1480663	82918	48835	48835	-361157	-278239	-410324	2016517	562109	829217	15322	702853	1227924	625191	623764	350470	1103938	259094	-327406	-69863	31	1.11	10.8	-16.5	-12.9	30	0.28	0	-16.5	FALSE	E	MONTAZA Proizvodnja in montaza Lendava d.o.o. - V STECAJU	43.22	INSTALIRANJE VODOVODNIH, PLINSKIH IN OGREVALNIH NAPELJAV IN NAPRAV	
G	L	118629088	113712920	2795655	143845	147633	147633	1525413	1669258	1467387	47786436	4909145	1556199	4341712	954483	46812568	40173096	40173096	24134	41705160	16689567	1611232	278384	84.1	1.12	-4.9	-1.4	0.3	-1.67	0.1	10.33	3.3	FALSE	E	AVTO TRIGLAV trgovina z avtomobili in deli, d.o.o., Ljubljana	45.11	TRGOVINA Z AVTOMOBILI IN LAHKIMI MOTORNIMI VOZILI	
J	S	2258179	699890	1443702	216638	0	0	-113520	103118	-84300	4915288	4562178	0	22324	3494938	1419315	305588	305588	0	305588	56635	108864	193742	6.2	4.64	-15.6	-18.5	-2.2	-0.22	0.93	0	-2.2	TRUE	A	Javno podjetje Uradni list Republike Slovenije, d.o.o.	58.13	IZDAJANJE CASOPISOV	
C	M	10612306	7078205	1404699	826436	15025	9806	1502366	2328802	1317090	11548035	9367851	400730	987870	6390695	5147422	1587568	1587568	0	1988298	654798	1989426	2280279	13.7	2.59	2.6	-0.3	1.8	-0.25	0.81	100	13.2	FALSE	A	LINDE PLIN d.o.o., Celje	20.11	PROIZVODNJA TEHNICNIH PLINOV	
C	S	2973099	2022600	581564	284312	29528	29528	262256	546568	236827	2834561	1247939	1226550	164088	2027647	806914	277690	277690	1001542	502698	147300	498863	787558	9.8	1.61	11.1	-8.2	3.3	1.94	0.44	8.88	9	FALSE	A	TROL d.o.o., druzba za storitve, proizvodnjo in trgovino	25.99	PROIZVODNJA DRUGJE NERAZVRSCENIH KOVINSKIH IZDELKOV	
M	M	20426490	16848542	2955932	1327854	638649	638649	1753046	3080900	1097229	40692668	13164225	11230341	1308035	25105652	15484573	9479560	9479560	4307143	16402758	4327293	2424869	5353785	23.3	0.94	270.5	88.8	9.3	3.22	0.32	2.74	4.7	FALSE	E	Seaway Yachts, razvojni center za nove materiale, pogone in tehnologije, d.o.o.	72.19	RAZISKOVALNA IN RAZVOJNA DEJAVNOST NA DRUGIH PODROCJIH NARAVOSLOVJA IN TEHNOLOGIJE	
A	L	5496101	4570427	968053	412263	32431	28403	612510	1024773	508536	7515524	4920579	862500	56095	4671518	2840112	528733	528733	350000	1041233	1206648	920698	489920	7	2.73	9.9	-3	5.8	0.79	0.65	21.56	8.6	FALSE	A	JERUZALEM ORMOZ, STORITVE, AGRAR, TRGOVINA D.D.	1.11	PRIDELOVANJE ZIT (RAZEN RIZA), STROCNIC IN OLJNIC	
G	S	5894023	4713438	700355	255610	113573	113573	238832	494442	122641	6622270	1875326	3846789	51849	5279476	1323965	893488	893488	2606239	2134038	582311	378251	470018	13.5	0.62	1.4	-4.3	-1.1	7.68	0.28	2.1	3.5	FALSE	E	CLOUDY Trgovina, gostinstvo in turizem d.o.o. Ljubljana	47.72	TRGOVINA NA DROBNO V SPECIALIZIRANIH PRODAJALNAH Z OBUTVIJO IN USNJENIMI IZDELKI	
M	L	4544577	3295350	742674	86404	10520	8026	417397	503801	690387	4617517	1627620	791740	1750077	1174157	3430879	1067994	1067994	1432	1859734	0	776359	822048	23.1	1.84	0.1	0.7	0.9	-1.9	0.35	52.01	10.5	FALSE	A	LUNA TBWA druzba za komunikacije d.o.o.	73.11	DEJAVNOST OGLASEVALSKIH AGENCIJ	
